DATE,AWND,CLDD,DP01,DP10,DP1X,DT32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,Harvested_Acres,Planted_Acres,Yld_trays,Yld_tons,Value_trays,Value_tons,Frzn_tons,Frzn_Value,Mrkt _Value ,Proc_Value,Total_Value
1948-01-01,0,21,42,23,1,20,157,2,184,0,2,-2,33,35,0,0,259,13,20,7,0,0,0,0,0,0,0,0,208,0,492529,0,1231322,0,0,0,0,0,1231322
1949-01-01,0,42,47,27,1,34,144,6,177,0,1,-6,28,34,1979,1979,254,13,20,7,0,0,0,0,0,0,0,0,362,0,377860,0,848393,0,0,0,0,0,848393
1950-01-01,0,52,53,27,0,16,171,5,222,0,2,-4,25,39,1814,1814,264,14,20,8,0,0,0,0,0,0,0,0,447,0,544644,0,2028506,0,1660,0,0,0,2030166
1951-01-01,0,42,49,29,0,13,142,3,203,0,2,-2,18,34,1537,1537,276,14,20,8,0,0,0,0,0,0,0,0,556,0,514715,0,1520145,0,1438,0,0,0,1521583
1952-01-01,0,20,62,36,3,8,130,0,212,0,4,-1,48,31,1756,1756,463,13,19,8,0,0,0,0,0,0,0,0,760,0,649746,0,1919099,0,2030,0,0,0,1921129
1953-01-01,0,55,31,14,1,12,175,6,189,0,2,-3,42,40,1767,1767,146,14,21,7,0,0,0,0,0,0,0,0,664,0,533471,0,1807059,0,4276,1454950,0,0,3266285
1954-01-01,0,20,39,25,2,7,179,1,215,0,0,-2,28,32,1596,1596,281,14,21,7,0,0,0,0,0,0,0,0,508,0,477040,0,1101335,0,3624,1160373,0,0,2265332
1955-01-01,0,34,50,28,3,21,92,4,219,0,4,-2,77,39,1934,1934,381,13,19,7,0,0,0,0,0,0,0,0,772,0,642450,0,1606125,0,6188,2227500,0,0,3839813
1956-01-01,0,32,38,15,1,29,133,5,217,0,3,-4,47,34,1979,1979,173,13,20,7,0,0,0,0,0,0,0,0,1203,0,870281,0,2037947,0,5207,1941141,0,0,3984295
1957-01-01,0,41,58,27,0,16,163,3,197,0,4,-3,20,37,1724,1724,267,14,20,8,0,0,0,0,0,0,0,0,1228,0,1104632,0,1995030,0,7102,1491399,0,0,3493531
1958-01-01,0,85,48,37,6,10,191,7,211,0,8,-4,33,36,1523,1523,463,15,21,9,0,0,0,0,0,0,0,0,1242,0,1052092,0,2318187,0,4518,903643,0,0,3226348
